Date,Open,High,Low,Close,Volume,Change
2019-05-29 19:00:00,-3.88,283.8,294.01,281.55,289.75,1358200
2019-05-28 19:00:00,11.01,287.68,290.5,280.99,280.99,1321300
2019-05-27 19:00:00,-5.04,276.67,281.5,274.8,281.5,1062000
2019-05-26 19:00:00,1.99,281.71,284.9,279.61,280.0,794400
2019-05-23 19:00:00,-0.4,279.72,284.75,277.05,280.12,609300
2019-05-22 19:00:00,10.4,280.12,283.15,271.9,277.0,1198000
2019-05-21 19:00:00,9.84,269.72,272.87,261.05,261.05,619900
2019-05-20 19:00:00,-0.95,259.88,263.0,256.01,257.0,432300
2019-05-19 19:00:00,6.58,260.83,264.0,249.0,255.02,445500
2019-05-16 19:00:00,-7.72,254.25,263.99,252.5,263.9,348500
2019-05-15 19:00:00,-1.33,261.97,263.89,258.01,263.5,96400
2019-05-14 19:00:00,0.56,263.3,269.49,261.6,267.0,387300
2019-05-13 19:00:00,2.0,262.74,264.59,257.02,257.02,507500
2019-05-12 19:00:00,-5.35,260.74,269.0,257.52,268.0,372700
2019-05-09 19:00:00,-2.83,266.09,268.1,264.9,268.1,91100
2019-05-08 19:00:00,-3.33,268.92,277.0,268.0,274.99,486800
2019-05-07 19:00:00,-5.35,272.25,279.95,271.25,277.8,643100
2019-05-06 19:00:00,-1.82,277.6,281.99,276.6,279.42,119400
2019-05-05 19:00:00,-6.22,279.42,287.0,277.75,286.5,238600
2019-05-02 19:00:00,-4.33,285.64,291.0,284.0,291.0,221000
2019-05-01 19:00:00,1.24,289.97,299.8,289.5,292.0,141700
2019-04-29 19:00:00,-2.48,288.73,291.21,286.87,288.19,248900
2019-04-28 19:00:00,-2.76,291.21,297.95,290.9,295.45,400400
2019-04-25 19:00:00,0.33,293.97,298.42,290.91,290.91,739900
2019-04-24 19:00:00,5.85,293.65,296.35,287.79,289.99,632300
2019-04-23 19:00:00,1.75,287.79,290.9,284.64,286.05,373600
2019-04-22 19:00:00,-3.49,286.05,290.88,285.45,289.54,645800
2019-04-21 19:00:00,-0.19,289.54,291.82,289.09,290.89,311800
2019-04-18 19:00:00,1.24,289.73,293.86,288.64,288.73,369900
2019-04-17 19:00:00,0.53,288.49,289.91,287.27,287.95,262800
2019-04-16 19:00:00,-1.15,287.96,289.36,286.35,289.18,210800
2019-04-15 19:00:00,-1.26,289.11,290.91,286.82,288.23,310600
2019-04-14 19:00:00,1.53,290.37,292.82,288.18,292.82,245600
2019-04-11 19:00:00,3.45,290.66,293.18,286.82,287.28,383100
2019-04-10 19:00:00,1.13,287.22,289.09,285.45,285.91,378700
2019-04-09 19:00:00,-2.54,286.09,289.05,283.82,287.36,138800
2019-04-08 19:00:00,2.54,288.63,290.91,283.27,287.27,469100
2019-04-07 19:00:00,-3.88,286.09,289.55,285.0,287.3,993600
2019-04-04 19:00:00,0.59,289.97,290.92,288.41,290.44,527500
2019-04-03 19:00:00,-3.22,289.38,291.82,288.18,290.94,322700
2019-04-02 19:00:00,0.98,292.6,295.45,282.91,287.27,256400
2019-04-01 19:00:00,-1.7,291.62,295.45,290.0,295.36,126400
2019-03-31 19:00:00,-4.16,293.32,297.27,293.18,297.27,132900
2019-03-28 19:00:00,2.53,297.48,299.95,293.82,293.64,311700
2019-03-27 19:00:00,-2.2,294.95,295.91,293.65,293.73,247300
2019-03-26 19:00:00,5.37,297.15,297.73,292.64,292.73,238700
2019-03-25 19:00:00,0.91,291.78,292.73,288.32,290.45,190800
2019-03-24 19:00:00,-3.03,290.87,292.74,290.11,292.74,69000
2019-03-21 19:00:00,-1.18,293.9,296.64,292.72,294.55,64700
2019-03-20 19:00:00,-2.89,295.08,298.18,293.65,298.18,271100
2019-03-19 19:00:00,5.46,297.97,298.45,292.68,292.71,654000
2019-03-18 19:00:00,1.35,292.51,297.27,291.45,293.18,534200
2019-03-17 19:00:00,3.77,291.15,291.82,286.36,289.09,267300
2019-03-14 19:00:00,-1.31,287.38,290.53,286.38,290.53,206900
2019-03-13 19:00:00,0.06,288.69,291.76,282.87,289.98,135100
2019-03-12 19:00:00,-0.21,288.63,290.0,286.64,288.85,95300
2019-03-11 19:00:00,-0.37,288.84,292.7,286.46,292.7,266600
2019-03-10 19:00:00,-2.18,289.21,293.63,288.65,291.82,97200
2019-03-07 19:00:00,-5.45,291.39,296.85,289.09,295.65,253800
2019-03-06 19:00:00,-0.74,296.85,297.73,295.5,297.73,23600
2019-03-05 19:00:00,-0.67,297.58,298.25,295.91,298.18,83600
2019-03-04 19:00:00,0.2,298.25,300.44,296.45,298.18,244200
2019-03-03 19:00:00,0.81,298.05,298.72,295.0,297.27,224100
2019-02-28 19:00:00,0.8,297.25,298.18,293.24,294.09,368400
2019-02-27 19:00:00,2.93,296.45,299.08,290.0,295.0,1363000
2019-02-26 19:00:00,1.38,293.52,297.28,278.68,292.73,2318100
2019-02-25 19:00:00,-4.62,292.14,296.27,290.92,290.92,561700
2019-02-24 19:00:00,-2.17,296.75,299.95,296.36,299.95,103800
2019-02-21 19:00:00,-2.61,298.93,301.82,297.75,299.55,322300
2019-02-20 19:00:00,-0.95,301.54,302.73,299.09,302.5,397600
2019-02-19 19:00:00,5.45,302.49,303.55,294.64,300.09,863600
2019-02-18 19:00:00,-0.94,297.05,300.85,295.0,297.27,268800
2019-02-17 19:00:00,-0.19,297.98,300.0,294.65,296.36,328100
2019-02-14 19:00:00,0.21,298.17,299.14,295.91,298.19,272700
2019-02-13 19:00:00,-1.48,297.96,299.64,297.27,299.09,74600
2019-02-12 19:00:00,-2.28,299.45,303.63,298.41,302.55,126600
2019-02-11 19:00:00,1.75,301.73,302.64,298.23,298.23,170700
2019-02-10 19:00:00,-1.83,299.97,304.09,298.18,303.15,727300
2019-02-07 19:00:00,-4.25,301.8,308.14,299.65,305.55,913900
2019-02-06 19:00:00,-1.95,306.05,309.55,305.55,307.74,149200
2019-02-05 19:00:00,1.71,307.99,310.68,305.45,306.32,774100
2019-02-03 19:00:00,0.93,306.28,307.81,304.55,305.99,320400
2019-01-31 19:00:00,0.49,305.35,307.25,303.77,303.77,181100
2019-01-30 19:00:00,-0.93,304.86,307.25,303.86,305.0,437600
2019-01-29 19:00:00,-2.4,305.79,309.55,305.45,309.06,227500
2019-01-28 19:00:00,0.45,308.19,308.63,306.45,307.73,200500
2019-01-27 19:00:00,1.94,307.74,308.18,304.55,306.36,308500
2019-01-24 19:00:00,0.11,305.8,308.09,302.82,306.35,494700
2019-01-23 19:00:00,2.85,305.69,311.82,304.55,307.27,1732300
2019-01-22 19:00:00,2.01,302.85,305.23,299.18,301.68,768500
2019-01-21 19:00:00,2.85,300.84,302.27,296.36,298.64,573000
2019-01-20 19:00:00,-0.03,297.98,301.35,296.59,297.29,490600
2019-01-17 19:00:00,-0.62,298.01,301.72,295.57,300.0,349500
2019-01-16 19:00:00,-0.65,298.63,299.09,293.65,298.2,609900
2019-01-15 19:00:00,-3.45,299.28,304.08,298.5,301.82,411500
2019-01-14 19:00:00,7.77,302.73,304.36,295.43,295.43,1606000
2019-01-13 19:00:00,2.85,294.95,296.35,291.83,293.65,459900
2019-01-10 19:00:00,-6.46,292.11,304.49,290.95,298.77,1468100
2019-01-09 19:00:00,3.84,298.57,299.91,292.75,295.41,572400
2019-01-08 19:00:00,-1.61,294.74,298.64,293.27,298.01,259500
2019-01-07 19:00:00,1.25,296.35,300.9,295.45,295.45,1030600
2019-01-06 19:00:00,10.04,295.09,295.45,285.09,285.09,1185600
2019-01-03 19:00:00,-1.3,285.05,288.18,284.55,286.82,388100
2019-01-02 19:00:00,5.67,286.35,289.09,276.82,280.9,912700
2019-01-01 19:00:00,2.92,280.68,286.36,276.82,280.45,880900
2018-12-31 19:00:00,13.15,277.76,277.85,268.14,268.14,497100
